Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@RadioSenado,"Instituição, partido, empresa",-15,,1,2,,1,9,,6,3,3,,1,,,4,,5,4,1,,,19,4,,,,,,2,65
@SergioCabralRJ,político,-11,2,,2,,,13,,5,,4,,2,,1,1,,6,4,1,,1,15,5,,1,,,1,1,65
@marcus_pestana,deputado,30,6,2,,,,6,,2,3,1,,2,,,1,,2,33,,,,3,2,,1,,,,1,65
@cbonlinedf,mídia,-5,2,1,3,,1,9,,4,2,2,,1,,,2,,5,11,,,,16,3,,,1,,,2,65
@alessandromolon,deputado,-25,,1,1,,,7,,1,2,1,1,1,,1,4,,4,4,,1,4,29,1,,,,,,2,65
@DepRodrigoMaia,deputado,7,13,1,2,,,6,,4,1,3,,3,,,2,,9,10,,,,3,3,,,,,,4,64
@FlavioDino,político,-11,1,8,4,,,5,,3,2,2,,2,1,1,2,,4,5,,,2,16,3,,,,,,3,64
@DaniloGentili,personalidade,6,3,,2,,1,4,,9,1,,3,3,,,3,2,6,12,,,1,6,3,,,,,,5,64
@denirothenburg,jornalista,3,4,1,1,,1,9,,5,1,5,,3,,,2,,9,10,,,1,7,2,,,,,,3,64
@carosamigos,mídia,-24,,6,1,,,6,,1,,,,,,1,6,,2,3,1,1,4,27,3,,1,,,,1,64
@AecioBlog,político,23,5,,1,,,7,,7,2,2,,1,,,1,,8,24,,,,1,3,,1,,,,1,64
@Delcidio,político,-14,3,1,3,,,9,1,2,,1,,1,,1,2,,5,8,,,,22,2,,,,1,,2,64
@zedutra13,político,-28,,1,3,,,7,,2,,3,1,1,,1,2,1,2,3,,1,,31,2,,,,,,2,63
@VICENTINHOPT,deputado,-37,,1,3,,,5,,2,,1,1,1,,1,2,,2,,,1,1,37,1,,,,,,4,63
@petrobras,"Instituição, partido, empresa",-29,1,3,1,,,5,,3,2,1,,1,,1,1,,4,1,1,,2,30,4,,,1,,,1,63
@requiaopmdb,político,-15,2,3,4,,,13,,3,1,3,,,,1,3,,3,3,,,1,18,2,,,,1,,2,63
@efraimfilho,deputado,4,14,,3,,,6,,5,,2,,2,1,,2,,8,8,,,,4,2,,,,1,,5,63
@AdrianaVNews,jornalista,18,5,2,1,,,7,,4,1,3,,1,,,3,,4,21,,,1,3,2,,1,,,,4,63
@correiodobrasil,mídia,-17,5,3,5,,,6,,2,,1,,1,,1,3,,5,3,1,,1,20,4,,,,,,2,63
@cesarmaia,político,6,13,1,1,,,6,1,2,,4,,2,,1,1,,9,10,,,,4,3,,1,1,1,,2,63
@radiobandnewsfm,mídia,-2,4,,2,,,10,,3,1,1,1,1,,1,2,1,3,9,1,,,11,4,1,,2,,1,3,62
@helenachagas,jornalista,-10,3,5,1,,,8,,3,,1,1,1,,1,2,,4,8,,,1,18,3,,,,,,2,62
@ibgecomunica,"Instituição, partido, empresa",-16,1,4,,,,7,,4,2,2,,1,,,,,5,5,1,,1,21,3,,,1,1,,3,62
@RachelSherazade,jornalista,15,4,1,1,,1,7,,4,3,2,3,,,,1,2,4,17,,,,2,2,,,,1,,6,61
@zerohora,mídia,-7,3,1,3,,,8,,8,1,2,1,3,,,3,,2,7,,,1,14,1,,,,,,3,61
@Paulo_Bernardo,político,-15,,2,1,,,7,,7,2,2,,2,,1,3,,3,4,1,1,,19,4,,,,,,2,61
@onyxlorenzoni,deputado,9,12,1,3,,,9,,4,2,2,,1,,,1,1,3,12,,,,3,3,,,,1,,3,61
@blogdojefferson,político,11,3,,2,,,9,1,4,3,2,,2,,,2,,5,13,,1,,2,6,,1,,,,5,61
@vanessasenadora,político,-11,2,7,3,,,9,,4,,2,,2,,,4,,5,4,,,1,15,,,1,,,,1,60
@oab_brasil,"Instituição, partido, empresa",-9,2,2,3,,1,7,,3,1,,1,2,,,2,,3,8,1,,,17,2,,,,,,5,60
@aleluiacosta,deputado,8,13,1,3,,,2,,5,1,3,1,,,,1,,5,12,,,1,4,2,,,2,1,,3,60
@augustosnunes,jornalista,16,6,1,4,,,9,,4,1,1,,1,,,1,,5,19,,,,3,3,,,,,,2,60
@VIOMUNDO,mídia,-32,,6,,,,3,,,,1,,,,1,2,,2,2,,,3,34,4,,,,,,1,59
@pimentelminas,político,-18,2,1,1,,,4,,5,,1,,2,,1,2,1,3,6,,,,24,3,,1,,1,,1,59
@MPF_PGR,"Instituição, partido, empresa",-12,2,2,1,,,6,,5,1,,1,3,1,,2,,6,6,1,,,18,2,,,,,,2,59
@inst_lula,"Instituição, partido, empresa",-40,,4,1,,,5,,,,,,,,,3,,1,2,,,,42,,,,,,,1,59
@carlossampaio_,deputado,30,2,,,,,9,,3,1,2,,1,,,2,,3,31,,,,1,3,,,,,,1,59
@agenciapf,"Instituição, partido, empresa",-8,3,1,2,,,7,,3,1,1,1,2,,,3,1,7,6,1,,1,14,4,,,,,,1,59
@BomDiaBrasil,mídia,2,2,,1,,,9,,7,2,2,1,2,,,3,,3,9,1,1,,7,4,,,1,,,4,59
@anaamelialemos,político,-1,2,3,2,,,5,,18,1,3,,,,,3,,3,6,,,,7,2,,,,,,4,59
@eikebatista,personalidade,-2,4,,3,,,8,1,3,3,3,3,3,,1,2,,7,5,,,,7,,,1,,1,,3,58
@CulturaGovBr,"Instituição, partido, empresa",-27,,3,2,,,5,,2,,2,,,,1,2,,2,2,1,,2,29,2,,,1,,,2,58
@BetoRicha,político,15,3,,2,,,7,,6,2,2,1,,,,3,,2,20,,,,5,1,,1,,1,,2,58
@rafinhabastos,personalidade,-1,3,2,2,,,3,1,9,1,2,4,2,,1,3,,4,6,,,1,7,2,,,,,,4,57
@portaldaband,mídia,1,3,,,,,9,,5,1,2,,1,,,1,,2,13,1,,,12,4,,,,,,3,57
@OsmarTerra,deputado,-3,4,1,4,,,16,,4,1,,,1,,,3,,1,7,,,,10,3,,,,,,2,57
@GreenpeaceBR,"Instituição, partido, empresa",-7,,2,,,,4,,2,2,,,2,,1,2,,3,9,,1,4,16,3,,,1,2,,3,57
@DrRosinha,político,-28,,,1,,,7,,1,1,2,,1,,1,2,,1,3,,,2,31,3,,,,,,1,57
@emirsader,personalidade,-37,,6,1,,,4,,,,1,,,,1,3,,,,,1,1,37,,,,,,,2,57
@zehdeabreu,personalidade,-32,,3,1,,1,4,,,,2,,,,1,2,,4,1,,1,1,33,,,,,,,2,56
@LogDescarte,"Instituição, partido, empresa",-23,2,2,1,,,6,,3,2,2,,1,,1,2,,3,1,,1,,24,4,,,,,,1,56
@marconiperillo,político,23,4,,3,,,2,,3,2,4,1,1,,,3,,4,23,,,,,3,,,,1,,2,56
@JusticaGovBR,"Instituição, partido, empresa",-19,,1,1,1,,7,,3,2,4,1,2,,1,2,,4,1,1,,1,20,3,,,1,,,,56
@DiarioTucano,"Instituição, partido, empresa",41,5,,1,,,2,,1,1,1,,,,,1,,2,41,,,,,,,,,,,1,56
@pmoreiraleite,jornalista,-14,3,1,1,,,6,,,1,1,,,,1,2,,3,8,,,1,22,3,,,,,,2,55
@sgpolitico,"Instituição, partido, empresa",1,7,1,3,,,8,,5,,1,,2,,,4,,3,8,,,,7,1,,,2,,,3,55
@paulopaim,político,-23,,2,3,,,7,,3,,1,,1,,1,2,,5,3,,,,26,1,,,,,,,55
@MTurismo,"Instituição, partido, empresa",-17,,3,,,,10,,5,1,3,,1,,,1,,3,2,1,,1,19,4,,,,,,1,55
@MST_Oficial,"Instituição, partido, empresa",-34,,3,2,,,2,,2,1,,,,,1,2,1,1,,1,,4,34,,,,,,,1,55
@oserginho,personalidade,-1,2,,2,,,7,1,3,1,1,2,1,,1,3,,7,8,,,,9,2,,1,1,1,,2,55
@gilbertokassab_,político,0,4,,,,1,4,,4,,,,2,,,2,,22,5,,,,5,2,,,,,,4,55
@jornalextra,mídia,-4,2,1,2,,,7,,3,1,4,1,1,,,1,,4,7,1,,2,11,4,,,,1,,2,55
@cbnbrasilia,mídia,0,4,1,1,,1,7,,4,1,4,,1,,,3,,5,9,,,,9,1,,,,,,4,55
@AdvocaciaGeral,"Instituição, partido, empresa",-11,3,,1,,,7,,3,2,3,1,,,1,2,,8,5,1,,,16,,,,,,,2,55
@Sergio_Guerra,político,23,3,2,,,,2,,5,2,4,,,,,2,,5,23,,,,,1,,1,1,,,3,54
@TerezaCruvinel,jornalista,-7,2,3,1,,1,6,,2,1,2,,1,,1,1,,3,7,,1,1,14,4,,,,1,,2,54
@Natyribeiro_,personalidade,2,6,2,4,,,6,,5,3,1,1,,,,1,,4,8,,,,6,1,,1,,,,5,54
@MarceloFreixo,político,-11,1,1,1,,,4,,1,1,3,,3,,1,3,,3,6,,1,4,17,,,,,,1,3,54
@FafaSchmitt,personalidade,1,4,1,4,,,13,,5,2,2,,1,,,,1,4,8,,,,7,,,,,1,,1,54
@DHumanosBrasil,"Instituição, partido, empresa",-25,,2,,,,7,,4,2,1,,2,,1,1,,3,1,1,,1,26,2,,,,,,,54
@hootsuite,"Instituição, partido, empresa",-6,4,1,2,,,6,,3,3,2,,,,,3,1,4,4,,1,1,10,2,,1,2,1,,3,54
@DepRosedFreitas,deputado,0,4,2,3,,,13,,4,,1,,1,,,2,1,4,6,,,,6,3,,,,,,4,54
@andretrig,jornalista,-1,2,2,1,,,4,,1,1,,1,1,,,1,,4,12,,1,4,13,3,,,,2,,1,54
@ConversaAfiada,mídia,-27,,6,,,,5,,,,1,,,,1,3,,2,3,,1,1,30,,,,,,,1,54
@tvcultura,mídia,-5,3,1,,,,3,,4,1,1,,1,,,4,,6,7,1,,2,12,3,,,,1,,3,53
@MarioCezar2010,personalidade,-2,5,3,3,,,10,,2,2,1,,1,,,1,,3,7,,,2,9,1,,,,,,3,53
@MarcioPochmann,político,-27,,4,1,,,5,,,,1,,1,,1,1,,1,3,,1,1,30,2,,,,,,1,53
@fabiofaria5555,deputado,1,3,,1,,,4,1,10,,3,,4,1,,1,,9,5,,,,4,3,,,,2,,2,53
@HenriqueFontana,deputado,-26,,3,1,,,7,,4,,1,,2,,1,1,,1,2,,,,28,2,,,,,,,53
@Ricamconsult,personalidade,11,1,1,1,,1,9,,1,2,2,1,1,,,1,,3,16,,,,5,5,,,,,,2,52
@redebrasilatual,mídia,-26,,3,,,,8,,,,,,,,1,3,,1,,1,,3,26,3,,,1,,,2,52
@RollembergPSB,político,-1,4,1,2,,,8,,1,1,1,,3,,,7,,6,5,,,,6,1,,,,1,,5,52
@PTnoSenado,"Instituição, partido, empresa",-41,,,1,,,2,,,,,,,,1,1,,,1,,1,,42,2,,,,,,1,52
@marcoluque,personalidade,2,1,,2,,,5,1,4,1,1,3,3,,,2,,4,9,,,2,7,2,,1,1,,,3,52
@mdagovbr,"Instituição, partido, empresa",-21,,,1,,,5,,3,,1,,2,,1,3,,3,4,,,1,25,2,,,1,,,,52
@BrunoAraujo4511,deputado,22,2,2,2,,,6,,2,2,1,,1,,,2,,2,24,,,,2,2,,,,,,2,52
@Ativistas,"Instituição, partido, empresa",-5,7,3,3,,,5,,1,3,2,1,2,,1,1,,2,5,,,2,10,1,,1,,1,,1,52
@presidente_lula,"Instituição, partido, empresa",-24,,2,2,,,3,,5,,1,,1,,1,4,,1,1,,,,25,1,,1,,,,3,51
@pinheirosenador,político,-20,2,2,1,,,4,,2,,1,,,,,2,,5,4,,,,24,1,,1,1,,,1,51
@ProtogenesQ,político,-9,,7,2,,,7,,3,,2,,1,,1,3,,3,4,,1,1,13,1,,,1,,,1,51
@MEC_Comunicacao,"Instituição, partido, empresa",-17,,1,1,,,3,,3,1,2,,2,,,1,,2,4,1,,2,21,4,,,2,,,1,51
@JPT13,"Instituição, partido, empresa",-43,,1,,,,1,,,,,,,,1,,,,1,,1,,44,1,,,,,,1,51
@patriciapoetap,jornalista,1,2,1,2,,,5,1,1,2,3,3,1,,,3,,6,7,,,,6,3,,1,,,,4,51
@mendesthame,deputado,20,4,1,1,,,6,,3,,1,,2,,,1,,2,23,,,,3,2,,,,,,2,51
@ivetesangalo,personalidade,1,4,1,1,,,2,1,4,2,1,3,,,1,2,,7,7,,,1,6,2,,1,,1,,4,51
@ebcnarede,mídia,-15,1,2,,,,6,,3,1,1,,,,,3,,2,4,1,,2,19,4,,,1,,,1,51
@Haddad_Fernando,político,-27,,1,1,,,3,,1,,1,,,,1,3,,3,2,,1,1,29,3,,,,,,1,51
@humbertocostapt,político,-26,,5,3,,,5,,1,,1,,,,1,1,,2,2,,,,28,1,,,,,,1,51
@darcisioperondi,deputado,-3,3,1,4,,,17,,4,1,1,,2,,,1,,3,4,,,,7,2,,,,,,1,51
@PMDB_Nacional,,,1,,,,,35,,,1,,,1,,,,,1,1,,,,5,2,,,,,,3,50
@kibeloco,,,3,,,,1,7,,3,3,2,2,2,,1,,,4,9,,1,1,6,2,,,1,,,2,50
@KAKA,,,,2,,,,7,1,3,2,1,4,1,,1,4,1,6,7,,,,2,2,,1,,,,5,50
@eduardocampos40,,,1,3,1,,1,7,,1,2,1,1,2,,,14,,4,3,,1,,6,1,,,,,,1,50
@DepFelipeMaia,,,11,,,,,6,1,5,,3,,3,,,1,,5,9,,,,1,2,,,,,,3,50
@dilmanarede,,,,3,1,,,4,,2,,,,,,1,2,,1,1,,1,,29,1,,1,,,,3,50
@GaudTorquato,,,5,2,3,,,7,1,1,1,1,,,,1,2,,5,12,,,2,2,2,,,,1,,2,50
@cutnacional,,,,3,1,,,,,3,,,,,,1,2,,1,1,1,,,34,2,,,,,,1,50
@Brasil_de_Fato,,,,2,1,,,4,,,1,,,1,,1,3,,1,1,,,4,28,2,,,,,,1,50
@contas_abertas,,,3,1,1,,,6,,1,1,2,,1,,,1,,3,10,1,,2,13,1,,,,,,3,50
@BlogdoZeDirceu,,,1,3,,,,3,,1,,2,,,,,1,,2,3,,1,1,29,2,,,,,,1,50
@unicefbrasil,,,2,,,,,6,,4,,,,2,,1,3,,2,7,1,,1,16,2,,,1,,,1,49
@tvsenado,,,3,1,3,,,6,,6,1,2,1,,,,1,,3,3,1,,2,11,3,,,,1,,1,49
@vanderleimacris,,,1,,1,,,6,,1,1,3,,2,,,1,,2,26,,,,2,1,,,,,,2,49
@gilbertotv,,,4,2,1,,,7,,2,2,,1,2,,1,2,,3,8,,1,1,5,1,,,1,2,,3,49
@DefesaGovBr,,,2,,,,,5,,7,,3,,1,,1,2,,3,1,1,,2,17,3,,,1,,,,49
@RonaldoNobrega,,,5,1,6,,,6,,2,2,,,1,,,1,,3,8,,,,5,4,,,,1,,3,48
@portalvermelho,,,,9,,,,1,,,,,,1,,1,2,,,1,,,1,31,,,,,,,1,48
@roseannkennedy,,,4,1,2,,,9,1,,3,2,,,,,,,2,11,,,1,5,4,,,,,,3,48
@PBiaL,,,3,,,,,6,1,3,1,2,2,2,,1,2,,5,9,,,1,3,2,,1,1,,,3,48
@paulocoelho,,,5,,2,,,5,1,3,1,1,,1,,1,1,,3,5,,,,10,4,,1,,,,4,48
@DepBrunaFurlan,,,7,,,,,7,,3,1,2,1,1,,,2,,4,16,,,,3,,,,,,,1,48
@jose_anibal,,,2,,2,,,3,,2,2,1,,2,,,2,,2,25,,1,,1,2,,,,,,1,48
@Arnaldo_Jabor,,,4,,3,,,4,1,2,2,3,2,2,,,3,,8,5,,,,3,1,,,1,,,4,48
@politike,,,5,,5,,,7,1,4,1,,1,,,,1,,3,6,1,,1,3,3,1,,1,,,3,47
@rvianna,,,,3,,,,4,,1,,,,,,1,3,,1,1,,,2,27,2,,,,,,2,47
@RodrigoCastro45,,,2,,1,,1,5,,3,,2,,2,,,1,,3,20,,,,2,2,,1,1,,,1,47
@perpetua_acre,,,2,6,1,,1,9,,1,1,1,1,2,,,3,,3,4,,,1,9,,,,,,,2,47
@revistaforum,,,2,2,,,,5,,3,,,,,,1,2,,2,1,1,,2,22,1,,,2,,,1,47
@rodaviva,,,1,2,,,,3,1,5,1,1,,1,,1,3,,3,8,,,2,6,3,,,2,2,,2,47
@nytimes,,,2,1,,,1,3,,1,2,,1,1,,1,4,,3,9,,,2,11,4,,,,,,1,47
@TAMAirlines,,,1,,2,,,9,,3,1,2,3,,,1,3,,6,6,,,2,3,1,,,,,,3,46
@JuventudeDEM,,,16,,1,,,5,,3,2,,1,,,,1,,5,8,,,,1,,,,,,,3,46
@MarceloDMoraes,,,6,,3,,,4,,3,3,,,,,,2,,2,8,,,,10,1,,,1,,,3,46
@minc_rj,,,,1,1,,,2,,3,2,1,,,,1,,1,3,3,,1,3,22,,,,,1,,1,46
@Francischini_,,,2,,2,,,5,,4,2,2,,2,,,3,1,5,12,,,1,1,2,,,,,,2,46
@dep_paulinho,,,2,1,5,,,5,,,1,1,,2,,,3,,2,9,,,1,3,4,,,,,,7,46
@fernandomarroni,,,,1,2,,,7,,2,,,,2,,,1,,3,2,,,1,22,2,,,,,,1,46
@genetonmneto,,,4,2,2,,1,4,,2,2,,,2,,,3,,4,5,1,,,8,4,,,,,,2,46
@globoesportecom,,,2,1,,,,8,1,2,1,,2,1,1,,4,1,9,4,1,,,4,1,,,,1,,2,46
@DepBolsonaro,,,2,,1,,1,6,,7,2,2,1,1,,,3,2,4,10,,,,,1,,,1,,,2,46
@cguonline,,,1,1,1,1,,6,,3,,1,,2,,,2,,3,4,1,,,16,3,,,1,,,,46
@Alice_Portugal,,,1,8,1,,,4,,3,,,,2,,,2,,1,3,,,1,15,2,,,,,,3,46
@cassiocl,,,4,,2,,,7,,3,1,1,,,,,,,3,18,,,,3,,,,,,,4,46
@BoechatBandNews,,,1,1,,,,9,,,,3,,1,,,2,,2,11,1,,1,11,3,,,,,,,46
@sibamachado13,,,,1,1,,,,,2,,,1,1,,1,2,,1,1,,1,,32,,,,1,,,,45
@SoninhaFrancine,,,2,1,1,,,3,1,1,6,1,,,,,2,,4,15,,,1,3,1,,,,,,3,45
@RadioagenciaEBC,,,1,1,1,,,5,,4,,2,,2,,,3,,3,3,1,,1,12,4,,,1,,,1,45
@TCUoficial,,,1,,1,1,,7,,6,1,2,1,1,,,1,,3,4,,,,12,2,,,1,,,1,45
@otavioleite,,,4,,1,,,4,,2,,4,,2,,,,,3,19,,,,1,2,,,,,,3,45
@neymarjr,,,,1,,,,7,,3,,1,2,1,1,,3,,4,6,1,1,2,10,,,,1,,,1,45
@jaqueswagner,,,1,3,1,,,2,,3,,1,2,,,1,2,,1,1,,1,,24,1,,,1,,,,45
@demostenes_go,,,6,,1,,,3,1,5,2,4,,1,,,2,,7,6,,,1,2,2,,,,,,2,45
@YouTube,,,4,2,,,,2,,2,1,2,2,,,1,4,1,3,8,,,1,6,1,,,2,,,2,44
@pt_brasil,,,,1,1,,,,,,,,,,,1,,,,1,,,,39,1,,,,,,,44
@xicosa,,,1,5,1,,,3,,,,1,,,,1,1,1,,3,,,2,22,,,,,,,3,44
@RubensBuenoPPS,,,4,,2,,,5,,1,6,,1,1,,,1,,4,10,,,,2,3,,,1,1,,2,44
@Minas_Energia,,,1,,1,,,4,,3,1,2,,,,,1,,3,,1,,1,21,4,,,1,,,,44
@Lucia_Vania,,,3,1,2,,,4,,3,1,2,,1,,,,,5,17,,,2,,2,,,,,,1,44
@luciovl_,,,5,2,1,,,14,,2,,2,1,,1,,,,2,4,,,,3,3,,,1,,,3,44
@mmeioambiente,,,,1,,,,4,,2,1,1,,1,,,,,3,2,1,,1,23,3,,,,1,,,44
@mariana_godoy,,,3,2,1,,,6,1,4,2,,,1,,,2,,2,9,,,,7,3,,,,,,1,44
@FazendaGovBr,,,1,,,,,4,,3,,3,,,,,2,,4,2,,,1,19,2,1,,,,,2,44
@cynaramenezes,,,,5,,,,3,,,,,,,,1,2,,3,2,,,3,25,,,,,,,,44
@blogdogarotinho,,,1,1,4,,,4,,2,1,9,,2,,,1,,3,7,,1,,3,1,,,,,,4,44
@TheEconomist,,,3,,,,,4,,2,,,,1,,1,3,,2,9,1,,,12,4,,,,,,1,43
@portalimprensa,,,,,1,,,7,,3,,,2,1,,,1,,5,5,,,1,11,4,,,,,,2,43
@LeonardoQuintao,,,3,2,2,,,14,,2,,,,3,,,1,,3,5,,,,5,1,,1,,,,1,43
@JuventudedoPT,,,,2,1,,,1,,,1,,,,,1,1,,,1,,1,,33,,,,,,,1,43
@lidicedamata,,,2,2,2,,,,,3,,,,2,,,7,,2,2,,,1,14,2,,,1,,,3,43
@mendonca_filho,,,10,2,1,,1,5,,2,2,1,,,1,,1,,2,10,,,,1,3,,,,,,1,43
@GGuimaraesPT,,,1,2,2,,,3,,1,,,,1,,,,,3,6,,1,,21,,,1,,,,1,43
@DeputadoAmauri,,,1,3,1,,,6,,4,,1,,,,,1,,2,,,,,20,1,,,1,,,2,43
@geddel_,,,3,1,,,,13,,5,,2,1,1,,,2,,1,4,,,,3,2,,,1,,,4,43
@anapaulapadrao,,,1,,2,,,5,1,4,1,2,1,1,,1,4,,5,4,,,,6,2,,,,,,3,43
@bndes_imprensa,,,2,,,,,8,,2,1,,,,,,,,2,1,1,,1,22,2,,,,,,1,43
@achinaglia,,,,1,2,,,4,,,,1,1,1,,1,5,,5,3,,,,18,,,,,,,1,43
@Cons_Juridico,,,2,,2,,1,5,,5,1,1,1,2,,,2,,3,3,1,,1,7,4,,,,,,2,43
@BrasilPAC,,,1,,,,,6,,5,,,,2,,,,,2,1,1,,1,19,4,,,,,,1,43
@pliniodearruda,,,2,2,1,,,7,,3,2,1,,,,1,1,1,3,4,,,4,7,,,,,,,3,42
@ReginaldoLopes,,,2,3,,,,4,,2,,,,1,,,1,,3,3,,,,22,,,1,,,,,42
