Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@sergiobc5,,,3,2,1,,,2,,2,,1,,1,,,,,2,1,,,,12,1,,,1,,,1,30
@WWF_Brasil,,,,1,,,,3,1,2,,,,1,,,1,,,4,,,2,10,2,,,1,1,,1,30
@paulobauer45,,,1,,1,,,6,,1,,2,,,,,1,,4,12,,,,1,,,,,,,1,30
@Ossesio_Silva,,,5,,3,,,2,,1,,,4,,,,2,,3,4,,,1,2,1,,,1,,,1,30
@OMktDigital,,,2,2,,,,4,,1,,,1,,,,2,,3,4,,1,,5,2,,,1,,,2,30
@JucaKfouri,,,2,,,,,2,,1,1,,,,,,1,,2,6,,,3,10,,,,,,,2,30
@luizcoutopt,,,,1,2,,,2,,1,,,,2,,,,,3,1,,1,,16,,,,,,,1,30
@militanciadoPT,,,,,,,,,,,,,,,,1,,,,1,,,1,26,,,,,,,1,30
@oceara,,,1,1,2,,,3,,4,1,1,1,1,,1,1,,3,2,,,,3,2,,1,,,,2,30
@moreiramendes55,,,1,,2,,,4,,4,2,,1,,,,,,6,5,,,,1,1,,,,,,3,30
@discursopolitic,,,3,2,4,,,5,,4,,,,,,,3,,1,3,,,,3,2,,,,,,,30
@depvazdelima,,,,,,,,5,,2,1,,,1,,,,,,18,,,,1,1,,,,,,1,30
@depchinaglia,,,,,2,,,1,,2,,1,,,,,1,,2,,,1,,19,,,,1,,,,30
@DepMarcosMontes,,,4,,,,,5,,6,,,,1,,,,,5,3,,,,3,2,,1,,,,,30
@gnatalini,,,2,,1,,,4,,,2,,,,,,2,,4,8,,,1,3,,,,,2,,1,30
@inacioarruda,,,,6,1,,1,4,,,,1,,3,,1,,,2,1,,,,9,,,,,,,1,30
@DepArthurMaia,,,2,1,2,,,8,,2,,1,,,,,,,1,4,,,,4,2,,,1,,,2,30
@GiocondaBrasil,,,3,,,,,6,,1,2,2,1,1,,,,,2,6,,,,5,,,,,,,1,30
@guilherme_afif,,,1,,,,,2,,2,,,,,,,,,13,7,,,,2,1,,,,,,2,30
@depguilherme,,,6,,,,,3,,2,,,,1,,,,,8,6,,,,2,2,,,,,,,30
@glendakozlowski,,,2,,1,,,6,,3,,,2,1,,,3,,3,4,,,,2,1,,,1,,,1,30
@cbnrio,,,1,1,,,,5,,,,2,1,1,,,,,2,4,1,,1,8,2,,,,,,1,30
@agenciaPT13,,,,,,,,,,,,,,,,,,,,,,,1,28,1,,,,,,,30
@andreolifelipe,,,1,,3,,,2,1,2,2,1,,,,,1,,1,3,,,,7,2,,,1,,,3,30
@ChicoBarreira,,,2,,3,,,1,,,1,,,2,,1,1,,,2,,,2,11,,,,,,,4,30
@CesarGuimar,,,4,1,3,,,3,,3,2,,1,1,,,,,1,4,,,,3,1,,,,,,3,30
@alberto_fraga,,,6,,3,,,5,,1,2,1,1,1,,,,,2,5,,,,,,,,,,,3,30
@PSD_55,,,,,,,,,,,1,,1,1,,,1,,24,,,,,,,,,,,,1,29
@Sandra_Campos_,,,6,2,1,,,1,,1,,,,,,,2,1,2,6,,,1,4,1,,,,,,1,29
@PSDBParana,,,3,,1,,,1,,1,2,,,,,,1,,1,18,,,,,,,,,,,1,29
@TomCavalcante1,,,1,,1,,,1,1,4,,1,2,1,,,3,,4,4,,,,3,1,,1,,,,1,29
@Pla_voluntario,,,4,,2,,,3,,2,1,1,1,,,,1,,2,4,,,1,4,1,,,,,,2,29
@TST_Oficial,,,1,,1,,,3,,1,2,1,,2,,,,,2,3,1,,,7,3,,,,,,2,29
@Polit009,,,4,,2,,,3,,1,1,1,,,,,,,2,5,,,1,5,2,,,,1,,1,29
@Rconstantino,,,2,,,,1,5,,3,2,1,1,1,,,,1,,10,,,,1,1,,,,,,,29
@ptrenatosimoes,,,,,,,,,,,,,,,,1,1,,,,,1,1,25,,,,,,,,29
@SporTV,,,1,2,1,,,3,,3,1,,2,2,1,,2,,3,2,,,,4,1,,,,,,1,29
@OdeCarvalho,,,3,,1,,1,6,,2,1,1,,,,,1,2,2,6,,,,,2,,,1,,,,29
@LiderMinoria,,,5,,1,,,,,,2,,,,,,,,,18,,,,,,,,1,,,2,29
@osmar_serraglio,,,2,2,,,,8,,3,1,,,2,,,1,,3,1,,,,3,2,,,,,,1,29
@MCrivella,,,1,,1,,,1,,1,,2,9,,,,1,,4,4,,,,4,1,,,,,,,29
@depfabiosousa,,,2,,1,,,3,,2,1,1,,,,,1,,3,13,,,,,1,,,,,,1,29
@FranCastro,,,3,,1,,,3,,3,1,1,,1,,,,,3,5,,,,4,1,,,,1,,2,29
@g1mundo,,,1,,1,,,2,,1,1,,,,,1,,,1,5,,,,10,1,,,2,1,,2,29
@DepDaniloForte,,,,,1,,,12,,3,,1,,2,,,,,1,3,,,,3,1,,,,,,2,29
@JorgeRMizael,,,4,,3,,,1,,1,1,,,,,,4,,2,3,,,,6,1,,,,,,3,29
@giovanicherini,,,,,5,,,5,,5,,,1,1,,,2,,3,1,,,,5,,,,,,,1,29
@JairHeuert,,,3,,2,,,3,,1,2,,3,,,,2,,1,6,,,,2,1,,,,,,3,29
@FundacaoAbrinq,,,,,,,,2,,1,1,,1,1,,1,1,,1,6,,,,8,3,,,1,,1,1,29
@DatenaOficial,,,2,,1,,,2,,2,1,,2,,,,1,,6,3,,,,7,,,,1,,,1,29
@bandnewsfmrio,,,1,,,,,3,,1,1,2,,1,,,,1,4,4,1,,1,7,2,,,,,,,29
@ArnaldoJardim,,,3,1,,,,4,,2,3,1,,1,,,1,,2,8,,,,2,1,,,,,,,29
@rubarrichello,,,1,,,,,3,1,4,1,1,1,,,1,2,,3,4,,,,2,3,,,,,,1,28
@rogeriosmarinho,,,1,,1,,,4,1,1,1,,,1,,,,,3,12,,,,,2,,,,,,1,28
@record_imprensa,,,2,,,,,1,,1,,2,5,1,,,1,,5,3,,,,4,1,,,,1,,1,28
@portalUOL,,,1,1,1,,,4,,1,1,,,,,,2,,2,3,,,,5,3,,,2,,,2,28
@RaquelATeixeira,,,1,1,1,,,5,,1,1,2,,,,,,,3,9,,,,2,1,,,,1,,,28
@leandrogabiati,,,3,,3,,,6,,1,1,1,,,,,1,,1,6,,,,1,,,,1,,,3,28
@Lnagle2,,,,2,1,,,4,,1,2,,,,,1,1,,2,2,,,1,7,1,,,1,,,2,28
@lobaoeletrico,,,3,,1,,,4,,3,1,,,,,,1,1,1,9,,,,2,,,,,,,2,28
@Fabio_Souto,,,11,2,,,,1,,1,,,,,,,,,4,2,,,,2,2,,,1,,,2,28
@irajaabreu,,,1,,1,,,7,,4,1,,1,1,,,2,,3,3,,1,,1,1,,,,,,1,28
@deputadoHauly,,,1,,1,,,4,,1,2,2,,1,,,1,,3,10,,,,,1,,,,,,1,28
@ITV_Oficial,,,1,,,,,1,,,,,,,,,,,,23,,,,1,1,,,,,,1,28
@fzambeli,,,1,,,,,6,,,1,,,,,,1,,3,10,,,,3,,,,,,,3,28
@eduardobarbosa_,,,1,1,1,,,4,,1,,2,,1,,,,,2,10,,,,1,2,,,,,,2,28
@eduguim,,,1,2,,,,2,,,,,,,,1,,1,1,,,,2,17,,,,1,,,,28
@_edinhoaraujo,,,,,,,,13,,1,1,1,,,,,1,,2,6,,,,3,,,,,,,,28
@catia_Seabra,,,4,,,,,5,,,,1,,1,,,,,2,6,,1,,6,1,,,,,,1,28
@claudioputy,,,1,,,,,1,,2,2,1,,1,,,,,1,1,,1,3,14,,,,,,,,28
@correio_dopovo,,,1,2,1,,,4,,6,,,1,,,,2,,1,2,,,,6,2,,,,,,,28
@aamadeira,,,3,,2,,,1,,1,1,1,,,,,,,1,12,,,,2,3,,,,,,1,28
@abilio_diniz,,,1,,2,,,2,1,4,,1,1,1,,1,1,,5,3,,,,3,1,,,,,,1,28
@addthis,,,4,1,1,,,3,,2,1,,,1,,1,,,1,5,,,,5,1,,,,,,2,28
@andrelmachado,,,1,1,3,,,3,,6,,,1,,,,2,,1,1,,,,8,1,,,,,,,28
@Daniel_PCdoB,,,2,9,1,,,1,,1,,,,1,,,,,1,2,,,1,7,,,,1,,,1,28
@CARPINEJAR,,,2,1,1,,,5,,,1,1,,,,1,2,,1,3,,,3,7,,,,,,,,28
@ptnews,,,,,,,,1,,,,,,,,1,,,,,,,,25,,,,,,,,27
@rogeriocorreia_,,,,1,,,,,,,,1,,,,1,,,2,1,,,1,19,,,,,,,1,27
@TodosEducacao,,,1,,1,,,6,,,1,,,,,1,2,,2,4,1,,,4,2,,,2,,,,27
@samuelmoreira,,,,,,,,2,,1,1,,,,,,2,,1,17,,,,3,,,,,,,,27
@TalineOppitz,,,1,1,3,,,3,,6,,,1,,,,2,,,1,,,,8,1,,,,,,,27
@secgeralpr,,,,,1,,,1,,1,,,,,,,,,,1,,1,1,19,2,,,,,,,27
@tiao_viana,,,2,1,,,,2,,,,,1,1,,1,1,,1,1,,,,16,,,,,,,,27
@PortalOTempo,,,2,2,2,,1,2,,,,1,,,,,,,2,6,,,,6,1,,1,1,,,,27
@rochinha13,,,,,,,,,,,,,,,,,,,,,,1,,26,,,,,,,,27
@simonimprensa,,,2,1,2,,,7,,1,1,,,,,,1,,1,5,,,,4,1,,,,,,1,27
@turquim5,,,,2,,,,1,,,,,,,,,,,1,,,,1,21,,,,,,,1,27
@STF_brasil,,,3,,1,,,3,,1,,2,,2,,,1,,2,1,,,,9,1,,,,,,1,27
@psdbmg,,,,2,1,,,1,,1,2,,,,,,,,1,18,,,,,,,,,,,1,27
@marisascruz,,,2,,,,,6,,1,3,2,,,,,,1,2,8,,,,,,,,1,,,1,27
@Nilson_Leitao,,,2,,,,,3,,2,1,1,,1,,,,,1,14,,,,,,,,1,,,1,27
@nelsonpelegrino,,,,2,1,,,,,3,,,,,,,,,,2,,1,,16,,,,,,,2,27
@g1economia,,,,,2,,,3,,3,,1,,,,,1,,1,7,,,,6,1,,,,,,2,27
@jornaldosenado,,,2,2,1,,,7,,2,,1,,,,,,,,5,,,,6,,,,,,,1,27
@IphanGovBr,,,1,3,1,,,1,,3,,,,,,,1,,1,,1,,,14,1,,,,,,,27
@exame_noticias,,,2,,,,,7,,1,1,1,,,,,1,,1,7,,,,3,1,,,,1,,1,27
@Floriano45,,,1,,,,,2,,,1,,,,,,1,,2,16,,,,2,1,,,,,,1,27
@edemocracia,,,3,1,,,,4,,3,,,,1,,,,,1,2,,,,10,,,,1,,,1,27
@JorgePicciani,,,1,,1,,,6,,2,,3,1,1,,,,,5,2,,,,2,2,,,,,,1,27
@governomg,,,2,,,,,2,,4,,,,,,,1,,2,8,,,,6,,,1,1,,,,27
@barbaragancia,,,4,1,,,,1,,1,,,,1,,,2,,1,5,,,2,7,2,,,,,,,27
@colattodeputado,,,,,1,,,7,,4,,2,,,,,1,,2,4,,,,4,2,,,,,,,27
@cnnbrk,,,2,,,,,1,,3,,1,,,,1,1,,1,8,,,,5,2,,,,,,2,27
@DalvaFigueiredo,,,,2,1,,,2,,2,,,1,1,,,1,,1,,,,1,14,1,,,,,,,27
@costa_rui,,,,2,,,,,,3,,,1,,,,,,1,1,,1,,15,2,,,1,,,,27
@BlogDoPim,,,5,,,,,4,,5,1,2,,,,,,1,,6,,,,,2,1,,,,,,27
@BohnGass,,,,,2,,,4,,3,,,,1,,,2,,,1,,,1,13,,,,,,,,27
@ANADEP_Brasil,,,3,1,2,,,1,,4,1,1,,1,,,1,,,3,,,,8,,,,,,,1,27
@democratas,,,14,,,,,2,,,,,,1,1,,,,4,4,,,,,,,,,,,1,27
@Casagrande_ES,,,2,,,,,3,,2,,,,1,,,7,,3,2,,,,4,1,,,,1,,1,27
@carolina_magnus,,,1,,2,,,2,,3,1,,,2,,,1,1,,3,,,,9,,,,,,,2,27
@ubesoficial,,,,4,1,,,3,,,,,,1,,,,,1,1,,,,15,,,,,,,,26
@vinicius_wu,,,,2,1,,,2,,,,,,,,,2,,,1,,,,15,2,,1,,,,,26
@profreporter,,,,,1,,,4,,1,,1,1,1,,,,,3,5,,,,7,1,,,,,,1,26
@tales_faria,,,4,,,,,5,,,,2,,,,,,,3,5,,,,4,2,,,,,,1,26
@Pragmatismo_,,,,2,,,,,,3,1,,,,,1,1,,,1,,,,15,,,,2,,,,26
@Raul_Jungmann,,,2,1,,,,2,,1,4,,,1,,,2,,1,5,,,,2,2,,,,,,3,26
@RicardoPatah,,,4,,2,,,3,,1,,,,,,,,,4,5,,,,5,,,,1,,,1,26
@RaulHenry,,,2,2,,,,7,,1,,,,1,,,3,,1,5,,,,2,1,,,,,,1,26
@mendoncaprado,,,9,,,,,3,,1,,,1,,,,1,,2,3,,1,,1,2,,,,,,2,26
@marceloadnet0,,,2,1,,,,2,,1,2,,,,,1,2,,4,3,,,1,4,1,,,,,,2,26
@midiafoneBRASIL,,,3,1,3,,,7,,,1,,1,,,,1,1,1,3,,,,1,2,,,,,,1,26
@LaurezMoreira,,,5,,2,,,2,,1,1,,,1,,,4,,3,3,,,1,2,1,,,,,,,26
@LulapeloBrasil,,,,1,,,,2,,,,1,,,,1,,,,,,,1,19,1,,,,,,,26
@MarcioMacedoPT,,,,,,,,3,,1,,,1,,,,1,,1,,,,,17,1,,,,,,1,26
@MirandaSa_,,,4,,,,,3,,,1,1,,,,,,,2,9,,,1,3,,,,,,,2,26
@gloriafperez,,,,,1,,,2,1,2,,1,,,,1,,,4,2,,,1,6,3,,,1,,,1,26
@GilmarMachado_,,,,1,2,,,2,,1,,1,,1,,,2,,3,,,,,10,2,,,1,,,,26
@dirceubrito,,,,1,1,,,4,,1,,,,,,1,,,,,,,1,14,,,,1,,,2,26
@FFrancischini_,,,2,,,,,4,,1,1,2,,1,,,1,,3,8,,,,1,1,,,,,,1,26
@echofon,,,2,,1,,,4,,2,1,2,1,,,,1,,2,3,,1,,5,,,,,,,1,26
@DepNarcio,,,,,1,,1,1,,2,,,,1,,,,,2,14,,,,1,1,,1,,,,1,26
@josestedile,,,,1,2,,,3,,3,,,,2,,,7,,3,1,,,1,3,,,,,,,,26
@FabioPorchat,,,1,,,,,2,,,,,2,,,,2,,2,5,,,2,7,,,,1,,,2,26
@iriny_13,,,,1,,,,2,,,,,,,,1,2,,,,,,,19,,,,,,,1,26
@GovRJ,,,,1,,,,7,,2,,,1,1,,,1,1,3,1,1,,,5,1,,,,,1,,26
@13GabrielMedina,,,,,,,,1,,,,,,2,,,,,,1,,,,21,,,,,,,1,26
@DanielCoelho45,,,2,1,,,,1,,,2,,,,,,2,,1,16,,,,,,,,,,,1,26
@AdroaldoPortal,,,1,,8,,,3,,3,,,,1,,,,1,1,1,,,,4,1,,,,,,2,26
@anarita_pt,,,,1,,,,4,,2,,1,,,,1,2,,2,,,,,12,,,,,,,1,26
@agenciatse,,,2,,,,,4,,,1,1,,1,,,1,,3,1,,,,8,2,,,,,,2,26
@brumelianebrum,,,,,,,,3,,,1,1,,1,,,,,1,4,,,3,11,,,,,,,1,26
@renancalheiros,,,,1,1,,,6,,1,1,,,,,,2,,1,8,,,,3,1,,,,,,,25
@RdGuaibaOficial,,,1,2,1,,,4,,4,,1,1,,,,1,,,2,,,,6,2,,,,,,,25
@psdb_,,,,,,,,1,,,1,,,,,,1,,,20,,,,1,,,,,,,1,25
@SabaNunes,,,2,,1,,,4,,2,2,,,,,,3,,,1,,,,6,1,,,1,,,2,25
@RedePDT12,,,2,1,7,,,2,,,2,,,2,,,2,,1,2,,,,3,,,,,,,1,25
@simoneiglesias,,,1,,2,,,5,,1,,,,1,,,1,,,4,,,1,6,,,,,,,3,25
@radioitatiaia,,,,2,1,,1,4,,2,,1,,,,,1,1,1,7,,,,2,,,1,1,,,,25
@RogerioPT13,,,,,,,,2,,1,,1,1,1,,,1,,2,,,1,1,12,1,,,,,,1,25
@villa13013,,,,,2,,,2,,1,,,1,,,1,2,,,1,,,,13,1,,,,,,1,25
@ruipalmeira,,,2,,,,,3,,2,,2,,2,,,1,,,11,,,,,,,,,,,2,25
@SandroVaia,,,4,,,,1,3,,,,1,,,,1,,,,8,,,,3,1,,,,,,3,25
@uczai,,,,1,,,,4,,1,,1,,1,,1,,,3,1,,,,12,,,,,,,,25
@pallocci,,,,1,,,,2,,1,1,1,,1,,1,2,,1,1,,1,,11,1,,,,,,,25
@Leonek_,,,2,1,2,,,,,,,,,,,1,1,1,,,,,1,12,,,,1,,,3,25
@maryzaidan,,,3,1,,,,3,,1,,,1,,,1,2,,,11,,,,1,1,,,,,,,25
@MagelaPT,,,1,,1,,,1,,,,2,,2,,,1,,,2,,,,14,,,,,,,1,25
@OGlobo_Economia,,,,,,,,4,,1,,1,,1,,,1,,2,7,,,,5,1,,,,,,2,25
@michaelrosa13,,,,1,1,,,1,,,,1,,,,1,,,2,1,,,,17,,,,,,,,25
@Parlamentares,,,4,,1,,,1,,1,1,,1,2,,,2,,1,4,,,,5,,,1,,,,1,25
@MPAnarede,,,,,,,,4,,4,,,1,,,,1,,1,,1,,1,10,2,,,,,,,25
@MarcelloRicha,,,,,,,,,,3,2,1,,,,,1,,1,13,,,,1,1,,,,,,2,25
@marcosmion,,,1,,,,,3,,2,,,5,1,,1,1,,2,3,,,,2,1,,,1,,,2,25
@MandatoGenoino,,,,,,,,2,,,1,,,1,,,,,1,,,1,,18,,,,,,,1,25
@PEC56URGENTE,,,3,,1,,,1,,,1,1,,1,,,3,,,4,,,1,5,,,,,,,4,25
@eleitoral_,,,5,1,3,,,1,,2,,,,,,,,1,1,5,,,,3,1,,,1,,,1,25
@josiasgomesba,,,1,2,1,,,1,,1,,,,,,,,,1,2,,1,,12,1,,,1,,,1,25
@esperidiaoamin_,,,,1,1,,,6,,5,,2,,1,,,1,,3,3,,,,2,,,,,,,,25
@EVALDINOleite,,,5,,2,,,2,,1,,,1,1,,,4,,1,3,,,,1,,,,,,,4,25
@el_pais,,,2,,1,,,3,,3,,,,,,1,1,,1,3,,,2,6,1,,,,,,1,25
@deputadaluciana,,,1,10,,,,,,2,,,,,,,2,,1,1,,,,8,,,,,,,,25
@EunicioSenador,,,1,1,1,,1,7,,1,1,,,2,,,,,3,1,,,,4,,,,,,,2,25
@fichalimpa,,,1,1,2,,,1,,3,,,,,,,1,,1,5,,,2,3,,,1,1,,,3,25
@esmaelmorais,,,,2,,,,2,,1,2,,,,,1,1,,1,1,,,,10,1,,,1,1,,1,25
@EmbraturNews,,,,1,1,,,4,,4,,,,,,,,,2,1,1,,,7,3,,,,,,1,25
@joaopaulo_pt,,,,3,,,,1,,,,,,,,,2,,,3,,1,,15,,,,,,,,25
@FabioMarcal,,,3,,3,,,3,,5,,,,,,,2,,1,2,,,,5,,,,,,,1,25
@Globo_Rural,,,1,,2,,,6,,5,1,,,1,,,2,,1,1,,,,3,1,,,,1,,,25
@Flavia_OGlobo,,,,1,,,,3,,1,,1,1,1,,,,,4,5,,,1,6,1,,,,,,,25
@caioblinder,,,1,,1,,,3,,1,1,1,1,,,,,,2,7,,,,4,3,,,,,,,25
@cortezrafa,,,,,1,,,2,,2,1,1,1,,,1,1,,2,4,,,1,4,1,,1,,,,2,25
@Cantodosaber,,,,,1,,,4,,,,1,1,1,,1,1,1,1,5,,,1,5,,,,,,,2,25
@BlogOlhoNaMira,,,4,,1,,,4,,1,3,,,,,,1,1,,3,,,,3,1,,,1,,,2,25
@cqc__,,,,,2,1,,3,,2,3,2,,,,1,1,,1,3,,,1,3,2,,,,,,,25
@beltraomaria,,,3,1,2,,,3,,1,,,,1,,,,,1,5,,,,5,2,,,,,,1,25
@ArmandoPTB,,,2,2,,,,3,,1,,,,,,,2,,2,2,,,,7,3,,,,,,1,25
@CarlosMelles,,,6,1,1,,,,,1,,,,,,,1,1,4,5,,,,2,,,1,1,,,1,25
@brunosoller,,,3,,1,,,2,,1,4,,,,,,2,,1,7,,,1,1,,,,,,,2,25
@celsomaldaner,,,3,,,,,9,,2,,,,1,,,,,2,1,,,,4,2,,,,1,,,25
@Senador_Moka,,,3,,1,,,8,,2,,,,,,,1,,2,,,,,3,2,,,,,,2,24
@RicardoBarrosPP,,,,,1,,,2,,5,2,2,,2,,,1,,1,3,,,,1,1,,,,1,,2,24
@rafaelguerra,,,4,,1,,,1,,1,,,,,,,1,,2,10,,,,1,2,,1,,,,,24
@PublicoBrasil,,,4,,1,,,4,,2,1,,,1,,,,,2,2,,,,1,2,,,,,,4,24
@Poeta_ManoeldB,,,2,,1,,,4,,,,,,,,1,1,,1,1,,,2,9,,,,,,,2,24
@PSDBnacional,,,,1,1,,,,,1,1,,,,,,1,,,18,,,,,,,,,,,1,24
@thepatricao,,,4,,1,,,4,,2,1,1,,,,,,,2,6,,,,,1,,,,1,,1,24
@reporterb,,,,,,,,2,,,,,,,,,2,,1,2,1,,2,12,1,,,,,,1,24
@reporterbrasil,,,,,,,,1,,1,1,,,,,,1,,3,1,1,,2,9,2,,,,1,,1,24
@PretaGil,,,,1,,,,2,,1,,1,,1,,1,,,3,6,,,1,4,1,,,,,,2,24
@VoteBrasil2,,,1,,2,,,3,,1,2,,,,,,2,,2,4,,,,2,1,,1,1,,,2,24
@sosma,,,,,,,,2,,,2,,,1,,,1,,,5,1,,2,7,1,,,,2,,,24
@zecadopt,,,2,,1,,,1,,,,,,,,1,1,,1,1,,,,15,,,,,,,1,24
@prop_eleitoral,,,4,,1,,,3,,3,2,,,,,,,,3,2,,,,5,1,,,,,,,24
@sandrarosado,,,1,1,1,,,3,1,2,1,1,,2,,,4,,2,1,,,,3,1,,,,,,,24
@Niltonaprigio,,,1,,1,,,2,,,1,,1,2,,,2,,3,1,,,,6,1,,,,1,,2,24
@osamigosdolula,,,,,1,,,1,,,,,,,,1,,,,,,,,21,,,,,,,,24
@lelocoimbra_,,,1,,,,,8,,,,,,1,,,1,,2,5,,,,3,1,,,,1,,1,24
@LeoJaime,,,1,1,,,,1,,,,1,1,,,,2,,5,4,,,1,3,1,,,1,,,2,24
@junjiabe,,,4,,,,,4,,3,2,,1,1,,,1,,5,1,,,,1,1,,,,,,,24
@GloboReporter,,,,,,,,5,,3,,2,1,,,,,,3,3,,,,4,1,,,,,,2,24
@depluizalberto,,,1,2,1,,,1,,1,,,,1,,,,,2,1,,,,14,,,,,,,,24
@edinhosilva,,,,2,,,,,,,,,,1,,1,,,,2,,1,,14,3,,,,,,,24
@FrancischiniBR,,,2,,,,,2,,2,,1,1,,,,1,,1,10,,,,,1,,,,,,3,24
@joicehasselmann,,,1,,1,,,6,,2,2,,,,,,1,1,1,4,,,,2,2,,,,,,1,24
@DepMandetta,,,9,,1,,,2,,1,,,,,,,1,,4,4,,,,2,,,,,,,,24
@gnempauta,,,1,1,1,,,6,,2,2,1,,1,,,,,2,4,,,,2,1,,,,,,,24
@eudesxavierpt,,,,,1,,1,2,,,,,,2,,,1,,1,1,,,,14,1,,,,,,,24
@JoseAirtonPT,,,,1,1,,1,1,,2,,,,2,,,,,2,2,,,,10,1,,,,,,1,24
@conjuve,,,,1,,,,2,,,,1,,2,,1,1,,,2,,,1,11,1,,,,,,1,24
@BAndrada,,,1,,,,,4,,3,,,,,,,,,1,12,,,,1,1,,,,,,1,24
@bahianoticias,,,1,2,2,,,1,,2,,,1,1,,,1,,1,,,,1,6,2,1,,1,,,1,24
